ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-02-24,19745000.0,13.6899995803833,0.12,236.222,4451.03,26515.992,4462.056793441661,-11.026793441661539,-11.031113067028148,4451.025680374633
2015-02-25,19472300.0,13.84000015258789,0.12,236.222,4440.59,26515.992,4437.970976698615,2.619023301384914,2.621298473395582,4440.592275172011
2015-02-26,22255500.0,13.90999984741211,0.12,236.222,4462.27,26515.992,4429.642802110741,32.62719788925915,32.62413042603006,4462.2669325367715
2015-02-27,27757600.0,13.34000015258789,0.12,236.222,4440.67,26515.992,4441.401590602556,-0.7315906025560253,21.32952969374907,4462.731120296306
2015-02-28,27757600.0,13.34000015258789,0.12,236.222,4448.81,26515.992,4421.419044030348,27.39095596965217,21.32952969374907,4442.748573724098
2015-03-01,27757600.0,13.34000015258789,0.12,236.222,4448.81,26515.992,4411.480474693196,37.3295253068045,21.32952969374907,4432.810004386945
2015-03-02,22988600.0,13.039999961853027,0.12,236.222,4483.05,26515.992,4457.5233856434115,25.526614356588652,-25.715930622117053,4431.807455021294
2015-03-03,20788900.0,13.859999656677246,0.12,236.222,4458.78,26515.992,4405.562202351825,53.21779764817438,53.20750869984643,4458.769711051672
2015-03-04,21007400.0,14.229999542236328,0.12,236.222,4445.36,26515.992,4373.71490933065,71.64509066934988,71.64580421118542,4445.360713541835
2015-03-05,15381000.0,14.039999961853027,0.12,236.222,4452.06,26515.992,4376.04057822283,76.01942177717046,76.02210453719069,4452.062682760021
2015-03-06,30990400.0,15.199999809265137,0.12,236.222,4399.23,26515.992,4304.479835699601,94.75016430039886,138.53809292075968,4443.01792862036
2015-03-07,30990400.0,15.199999809265137,0.12,236.222,4447.696,26515.992,4289.605172852718,158.09082714728174,138.53809292075968,4428.143265773478
2015-03-08,30990400.0,15.199999809265137,0.12,236.222,4447.696,26515.992,4284.918907437499,162.7770925625009,138.53809292075968,4423.4570003582585
2015-03-09,26237100.0,15.0600004196167,0.12,236.222,4412.99,26515.992,4327.170939380004,85.81906061999598,85.81782380899156,4412.988763188995
2015-03-10,34234500.0,16.690000534057617,0.12,236.222,4329.08,26515.992,4244.988921597878,84.09107840212164,84.08794779395625,4329.076869391834
2015-03-11,25459700.0,16.8700008392334,0.12,236.222,4305.38,26515.992,4219.861561774687,85.51843822531282,85.51661146005632,4305.378173234743
2015-03-12,21473200.0,15.420000076293945,0.12,236.222,4336.23,26515.992,4301.081664139618,35.14833586038185,35.143530596380415,4336.225194735998
2015-03-13,42021100.0,16.0,0.12,236.222,4314.9,26515.992,4272.866430237011,42.03356976298892,65.34062383812964,4338.20705407514
2015-03-14,42021100.0,16.0,0.12,236.222,4339.716,26515.992,4262.8002380687285,76.91576193127185,65.34062383812964,4328.140861906858
2015-03-15,42021100.0,16.0,0.12,236.222,4339.716,26515.992,4262.645558211551,77.07044178844899,65.34062383812964,4327.986182049681
2015-03-16,25674100.0,15.609999656677246,0.12,236.222,4370.47,26515.992,4311.216198296197,59.25380170380322,59.25281357666745,4370.469011872865
2015-03-17,19603800.0,15.65999984741211,0.12,236.222,4375.63,26515.992,4308.356138225888,67.27386177411245,67.27308217402113,4375.629220399909
2015-03-18,40622200.0,13.970000267028809,0.12,236.222,4422.5,26515.992,4424.723508322419,-2.2235083224186383,-2.224621525833624,4422.498886796585
2015-03-19,31314000.0,14.069999694824219,0.12,236.222,4426.82,26515.992,4414.766044918575,12.053955081424647,12.054693630540902,4426.820738549116
